Code ECTS;Date;Promo;Matière;Enseignant;Horaire;Duree;†salle
1ARI;mardi 22 mars 2016;1;Arithmetic and Cryptography Soutenance Mini Projet† (2 etudiants - Duree 20') (selon planning regional);FORATO;11:00;2;
1LIN;mardi 22 mars 2016;1;Linux Technologies - System Fundamentals SOE (Duree 10') (selon planning regional);DI CLEMENTE;14:00;2;
1LIN;mardi 22 mars 2016;1;Linux Technologies - System Fundamentals SOE (Duree 10') (selon planning regional);DI CLEMENTE;16:00;2;
1WEB;jeudi 24 mars 2016;1;HTML & JavaScript - User Interface SOE (Duree 10') (selon planning regional);BENZAOUI;09:00;2;
1WEB;jeudi 24 mars 2016;1;HTML & JavaScript - User Interface SOE (Duree 10') (selon planning regional);BENZAOUI;11:00;2;
1WEB;vendredi 25 mars 2016;1;HTML & JavaScript - User Interface SOE (Duree 10') (selon planning regional);BENZAOUI;09:00;2;
1WEB;vendredi 25 mars 2016;1;HTML & JavaScript - User Interface SOE (Duree 10') (selon planning regional);BENZAOUI;11:00;2;
1WEB;vendredi 25 mars 2016;1;HTML & JavaScript - User Interface TP (Duree 2H);CAMPUS;14:00;2;
1ORC;mardi 29 mars 2016;1;SQL Fundamentals Part 1/2;BUFFET;09:00;2;
1ORC;mardi 29 mars 2016;1;SQL Fundamentals Part 1/2;BUFFET;11:00;2;
1ORC;mardi 29 mars 2016;1;SQL Fundamentals Part 1/2;BUFFET;14:00;2;
1ORC;mardi 29 mars 2016;1;SQL Fundamentals Part 1/2;BUFFET;16:00;2;
1ORC;jeudi 31 mars 2016;1;SQL Fundamentals Part 1/2;BUFFET;09:00;2;
1ORC;jeudi 31 mars 2016;1;SQL Fundamentals Part 1/2;BUFFET;11:00;2;
1ORC;jeudi 31 mars 2016;1;SQL Fundamentals Part 1/2;BUFFET;14:00;2;
1ORC;jeudi 31 mars 2016;1;SQL Fundamentals Part 1/2;BUFFET;16:00;2;
1ORC;vendredi 1 avril 2016;1;SQL Fundamentals Part 1/2;BUFFET;09:00;2;
1ORC;vendredi 1 avril 2016;1;SQL Fundamentals Part 1/2;BUFFET;11:00;2;
1LIN;lundi 4 avril 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;09:00;2;
1LIN;lundi 4 avril 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;11:00;2;
1LIN;lundi 4 avril 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;14:00;2;
1LIN;lundi 4 avril 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;16:00;2;
1LIN;mardi 5 avril 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;09:00;2;
1LIN;mardi 5 avril 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;11:00;2;
1SEC;mardi 5 avril 2016;1;Information System Security;BONNEVIAL;14:00;2;
1SEC;mardi 5 avril 2016;1;Information System Security;BONNEVIAL;16:00;2;
1LIN;jeudi 7 avril 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;09:00;2;
1LIN;jeudi 7 avril 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;11:00;2;
1LIN;jeudi 7 avril 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;14:00;2;
1LIN;jeudi 7 avril 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;16:00;2;
1LIN;vendredi 8 avril 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;09:00;2;
1LIN;vendredi 8 avril 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;11:00;2;
1LIN;vendredi 8 avril 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;14:00;2;
1LIN;vendredi 8 avril 2016;1;Linux Technologies - System Fundamentals;DI CLEMENTE;16:00;2;
1SEC;lundi 11 avril 2016;1;Information System Security;BONNEVIAL;09:00;2;
1SEC;lundi 11 avril 2016;1;Information System Security;BONNEVIAL;11:00;2;
1SEC;lundi 11 avril 2016;1;Information System Security;BONNEVIAL;14:00;2;
1SEC;lundi 11 avril 2016;1;Information System Security;BONNEVIAL;16:00;2;
1SEC;mardi 12 avril 2016;1;Information System Security;BONNEVIAL;09:00;2;
1SEC;mardi 12 avril 2016;1;Information System Security;BONNEVIAL;11:00;2;
1SEC;mardi 12 avril 2016;1;Information System Security;BONNEVIAL;14:00;2;
1SEC;mardi 12 avril 2016;1;Information System Security;BONNEVIAL;16:00;2;
1OSS;jeudi 14 avril 2016;1;Operating Systems Fundamentals TP (Duree 4H);CAMPUS;14:00;2;
1OSS;jeudi 14 avril 2016;1;Operating Systems Fundamentals TP (Duree 4H);CAMPUS;16:00;2;
1OSS;vendredi 15 avril 2016;1;Operating Systems Fundamentals SOE (Dure 10') (selon planning regional);BUFFET;09:00;2;
1OSS;vendredi 15 avril 2016;1;Operating Systems Fundamentals SOE (Dure 10') (selon planning regional);BUFFET;11:00;2;
1OSS;vendredi 15 avril 2016;1;Operating Systems Fundamentals SOE (Dure 10') (selon planning regional);BUFFET;14:00;2;
1OSS;vendredi 15 avril 2016;1;Operating Systems Fundamentals SOE (Dure 10') (selon planning regional);BUFFET;16:00;2;
1ORC;lundi 2 mai 2016;1;SQL Fundamentals Part 2/2;BUFFET;09:00;2;
1ORC;lundi 2 mai 2016;1;SQL Fundamentals Part 2/2;BUFFET;11:00;2;
